restaurant,stage,intro_source,intro_date,pitch_date,demo_date,signed_date,decline_reason,onboarded_date,week12_testimonial,logo_approved,notes
Scottie's Pizza Parlor,not_started,,,,,,,,,,
Tin Shed Garden Café,not_started,,,,,,,,,,
Toast PDX,not_started,,,,,,,,,,
HeyDay Doughnuts,not_started,,,,,,,,,,
Bar West,not_started,,,,,,,,,,
Campana,not_started,,,,,,,,,,
3 Doors Down Café,not_started,,,,,,,,,,
Grassa,not_started,,,,,,,,,,
Ataula,not_started,,,,,,,,,,
23Hoyt,not_started,,,,,,,,,,
Ken's Artisan Pizza,not_started,,,,,,,,,,
Besaw's,not_started,,,,,,,,,,
Nodoguro,not_started,,,,,,,,,,
Coquine,not_started,,,,,,,,,,
Güero Taqueria,not_started,,,,,,,,,,
Langbaan,not_started,,,,,,,,,,
Quaintrelle,not_started,,,,,,,,,,
La Moule,not_started,,,,,,,,,,
Hat Yai,not_started,,,,,,,,,,
Revelry,not_started,,,,,,,,,,
