name,owner_chef,neighborhood,cuisine,size_est_emp,current_tech_stack,warm_intro_path,contact_channel,fit_score_30,notes
Scottie's Pizza Parlor,Scott Rivera,Division/SE,Neapolitan pizza,8-15,Toast POS + paper prep,Vendor (Cascade Organic / Nicky USA),Walk-in NW or DM IG @scottiespizzaparlor,25,"Known tech-curious pizzaiolo, costs every dough batch. Verify size before pitching."
Tin Shed Garden Café,Amy Cortese,Alberta/NE,Eclectic breakfast,15-25,Unknown POS; heavy Google Sheets rumored,Vendor (Cascade Organic produce),Call + peer LinkedIn intro,24,Funky decor eclectic menu — margin pressure high brunch volume good test.
Toast PDX,Donnie Vercher,Woodstock/SE,Breakfast/brunch,10-18,Square legacy; grinds meat in-house,ORLA event,Walk-in weekday 2-4pm,26,"16+ yr owner-op, house-ground sausage = heavy recipe costing need. Name collision with product; don't pitch Toast as replacement wording."
HeyDay Doughnuts,Lisa Nguyen,Pop-up SE,Doughnuts/pastry,3-6,Unknown; Square likely,Peer chef intro (pastry circle),IG DM,18,"Small likely Sheets-based. Pop-up model = lean. Good Starter tier validator."
Bar West,Elizabeth Flood / Sean O'Connor,NW 21st,Farm-to-table Italian-NW,12-20,Toast or Square; Canva-heavy marketing,LaChona peer (NW neighbor 4 blocks),Anthony walks over,28,Strongest peer candidate. NW proximity + farm-to-table = same vendor overlap. Cocktail program = rich recipe tree.
Campana,George Kaden,Alphabet District/NW,Italian,12-18,Unknown,Vendor (SP Provisions 23rd Ave),Email via website contact,24,Co-owner approach-friendly. Italian = extensive pasta/sauce/prep costing need.
3 Doors Down Café,Dave Marth,SE Hawthorne,Italian-American,10-20,Paper/Sheets (30yr-old ops),ORLA or Portland peer intro,Call,22,Founder back in charge 30+ yr history = open to new tools. May be least tech-curious flag.
Grassa,Rick Gencarelli,Multiple NW/SW,Fresh pasta,20-35,Toast POS confirmed,Vendor (Bob's Red Mill wheat),Email owner direct,23,Multi-unit = may already have systems. Pitch single-location pilot.
Ataula,Jose Chesa,NW 23rd,Spanish tapas,15-25,Toast,Vendor (SP Provisions) or LaChona peer,Walk-in,26,NW 23rd = SP Provisions neighbor. Tapas = many small recipes perfect costing test.
23Hoyt,New owner (verify),NW 23rd,Farm-to-table American,18-28,Unknown,Vendor (Cascade Organic),Call,22,Verify current ownership first — may have changed hands.
Ken's Artisan Pizza,Ken Forkish,SE 28th,Wood-fired pizza,15-25,Toast,Peer (Ken is an author / tech-open),Email,25,Author signals tech-comfort. Dough-cost tracking already a known obsession.
Besaw's,Dayna McErlean,Slabtown NW,Breakfast-lunch,15-25,Unknown,LaChona peer (NW),Walk-in AM,25,100+yr history under current owner. NW proximity strong.
Nodoguro,Ryan & Elena Roadhouse,SE 28th,Japanese tasting,8-14,Unknown; small team,Peer chef intro,Email,23,JB finalist = busy/visible but small team means owner-decided.
Coquine,Katy Millard / Ksandek Podbielski,Mt Tabor,French-Oregon,15-25,Toast,Peer or ORLA,Email,24,JB finalist. May already have sophisticated system but check.
Güero Taqueria,Megan Sanchez,Beaumont/NE,Mexican,10-18,Toast,Vendor (China Foods / produce),IG DM,23,Mexican menu = heavy masa/salsa/prep costing. Megan active on social = tech-open.
Langbaan,Akkapong Earl Ninsom,SE Division,Thai tasting counter,8-12,Unknown,Peer (Thai restaurant group),Email,21,Ninsom runs multi-concept group — pitch one location only.
Quaintrelle,Camille Cavan / Ryan Fox,N Mississippi,New American,15-22,Unknown,ORLA or peer,Email,23,Small team chef-driven. Good Scale-tier candidate if they like pilot.
La Moule,Aaron Barnett,SE Clinton,Belgian mussels/frites,12-18,Toast,Peer chef (St. Jack sister),Email,24,Single focused menu = easy recipe onboarding.
Hat Yai,Akkapong Earl Ninsom,NE Killingsworth,Thai southern,10-18,Toast,Peer (Thai group),Email/IG,22,Same owner as Langbaan — one convo unlocks both.
Revelry,Han Ly Hwang,SE Belmont,Korean-American,10-16,Toast,Peer chef,Email,23,Korean menu = gochujang/banchan batching — clear costing pain.
